Rank,Report,Team,M1,M2,M3,Summary,Color,Fuse Material,Wing Material,Wing Configuration,Winglets?,Tail Configuration,Landing Gear Configuration,"Landing Gear
Material",Motor Configuration,Motor,Propeller(s) Blades,Deployment Type,Boom Number,Radio Protocol,Weight (lb),Mission 1 Pass/Fail,Mission 1 Times,Mission 2 Times,Mission 3 Lap Count,Mission 3 Fastest Lap Time,Wingspan (ft),Syringes,Max Packages,NOTES
3,1,FH Johanneum,1,1,1,"Carbon Fiber/ Yellow Carbon Fiber Composite Carbon Fiber Composite Conventional High Wing Tricycle Front metal, back composite ",Carbon Fiber/ Yellow,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,Yes,Conventional,Tricycle,"Front metal, back composite ",Single,,2,,N/A,,10.2,Pass,,"29.41, 26.21, 27.39, 1.23",,,6.54,,,
,2,Massachusetts Institute of Technology,1,0,0,"Black/Red/
White Carbon Fiber Composite Wood Conventional High Wing  Carbon Fiber Composite","Black/Red/
White",Carbon Fiber Composite,Wood,Conventional High Wing,No,Conventional,,Carbon Fiber Composite,Twin,,2,,,,,Fail,,,,,,,,
,3,Washington University in St. Louis,1,1,,Yellow/Blue/Pink Wood Wood Conventional High Wing Tricycle Carbon Fiber Composite,Yellow/Blue/Pink,Wood,Wood,Conventional High Wing,Yes,Conventional,Tricycle,Carbon Fiber Composite,Single,,2,Double Plate,,,,Pass,,,,,,60,,
,4,California Polytechnicic State University,1,0,0,red Wood Wood   ,red,Wood,Wood,,,H Tail,,,Single,,,,,,,,,,,,,,,
,5,Virginia Tech,1,1,1,Black/Orange Carbon Fiber Composite Wood Conventional High Wing Tricycle Carbon Fiber Composite,Black/Orange,Carbon Fiber Composite,Wood,Conventional High Wing,Yes,H Tail,Tricycle,Carbon Fiber Composite,Twin,Scorpion,2,Bottom Drop,1,,,Pass,,"49, 42,45, 2.16",,,,50,,
,6,"University of California, Los Angeles",1,0,0,Black/White Carbon Fiber Composite Wood Conventional High Wing Tricycle Aluminum,Black/White,Carbon Fiber Composite,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,,,,,~>10,"Pass
",,Fail,,,,,6,
,7,Arizona State University,1,1,,"Red/White/Yellow  Wood Conventional, Thick Tricycle Aluminum",Red/White/Yellow,,Wood,"Conventional, Thick",No,Conventional,Tricycle,Aluminum,Twin,,,,,,,Pass,,"40.04, 46.23, 51.47, 2.22",,,,,,
,8,The Ohio State University,1,0,0,Black/Red Carbon Fiber Composite Composite Tandem Tail Dragger Carbon Fiber Composite,Black/Red,Carbon Fiber Composite,Composite,Tandem,Yes,Tandem,Tail Dragger,Carbon Fiber Composite,8 Motors,,2,Sequential Rear,N/A,,"42, 54",,,,,,,,24,
1,9,Georgia Institute of Technology,1,1,1,"Yellow Wood  Conventional, Thick  Carbon Fiber Composite",Yellow,Wood,,"Conventional, Thick",,conventional,,Carbon Fiber Composite,,,,,,,,Pass,,,,,,,,
,10,University of Petroleum and Energy Studies,1,1,,"red Carbon Fiber Composite  Conventional, Thick  Carbon Fiber Strut",red,Carbon Fiber Composite,,"Conventional, Thick",,tandem,,Carbon Fiber Strut,,,,,,,,Pass,,,,,,,,
